,h,range,ip,des,diameter,last_obs_jd,id,fullname,ps_cum,ps_max,n_imp,ts_max,last_obs,v_inf
1725,25.16,2123-2123,1.380e-08,2023 LV,0.031,2460120.5,bK23L00V,(2023 LV),-8.33,-8.33,1,0,2023-06-25,8.61
1726,25.81,2058-2123,5.239279e-06,2024 FB,0.023,2460404.5,bK24F00B,(2024 FB),-5.97,-6.51,19,0,2024-04-04,9.01216838996358
1727,29.39,2107-2123,3.0941e-08,2024 FD1,0.0045,2460388.5,bK24F01D,(2024 FD1),-10.08,-10.30,3,0,2024-03-19,4.80039720758864
1728,23.64,2082-2123,6.95923e-07,2005 WG57,0.0631,2453734.5,bK05W57G,(2005 WG57),-5.74,-6.00,14,0,2005-12-30,9.88400047131651
1729,30.48,2082-2123,9.334127e-06,2023 HO36,0.0027,2460052.5,bK23H36O,(2023 HO36),-8.03,-8.61,23,0,2023-04-18,8.45123832041282
1730,31.36,2066-2124,0.00012366056,2025 KF2,0.0018,2460816.5,bK25K02F,(2025 KF2),-7.16,-7.52,25,0,2025-05-21,7.89415868810557
1731,28.32,2106-2124,5.0432e-07,2024 JT,0.0074,2460442.5,bK24J00T,(2024 JT),-8.28,-8.41,4,0,2024-05-12,6.33493952252538
1732,24.07,2046-2117,1.05114141e-05,2020 FZ46,0.052,2458928.5,bK20F46Z,(2020 FZ46),-4.47,-5.04,45,0,2020-03-20,14.6368832852851
1733,29.95,2056-2119,2.27168542e-05,2021 KB22,0.0035,2459364.5,bK21K22B,(2021 KB22),-7.32,-7.95,50,0,2021-05-30,6.1007931545381
1734,28.90,2099-2102,4.12594e-06,2024 GW4,0.0056,2460413.5,bK24G04W,(2024 GW4),-7.44,-7.48,3,0,2024-04-13,11.7820758905849
1735,25.75,2077-2123,0.000267887678,2008 HJ,0.024,2454586.5,bK08H00J,(2008 HJ),-4.22,-4.69,40,0,2008-04-30,7.529890825475
1736,26.81,2116-2124,3.4005726e-05,2024 GF6,0.015,2460417.5,bK24G06F,(2024 GF6),-5.72,-5.95,43,0,2024-04-17,8.23984385982526
1737,25.71,2079-2104,8.2637e-09,2024 HL2,0.024,2460435.5,bK24H02L,(2024 HL2),-8.45,-8.76,3,0,2024-05-05,13.9053904425378
1738,29.44,2045-2045,1.164e-08,2024 HO2,0.0044,2460433.5,bK24H02O,(2024 HO2),-9.77,-9.77,1,0,2024-05-03,7.98
1739,25.55,2064-2111,3.541933e-05,2012 EK5,0.0261,2456005.5,bK12E05K,(2012 EK5),-4.74,-5.02,19,0,2012-03-19,15.1283166104497
1740,26.72,2038-2103,1.1044167e-05,2012 UU158,0.015,2456237.5,bK12UF8U,(2012 UU158),-5.70,-5.75,10,0,2012-11-06,12.2788068534277
1741,26.43,2056-2115,5.1408e-07,2021 MV,0.017,2459389.5,bK21M00V,(2021 MV),-6.86,-6.87,3,0,2021-06-24,9.71149315281668
1742,23.80,2082-2082,7.047e-08,2024 HU,0.059,2460447.5,bK24H00U,(2024 HU),-6.36,-6.36,1,0,2024-05-17,21.11
1743,28.25,2110-2110,1.932e-08,2024 JN,0.0076,2460439.5,bK24J00N,(2024 JN),-9.74,-9.74,1,0,2024-05-09,3.05
1744,27.73,2076-2085,0.0002311398,2024 JR1,0.0096,2460436.5,bK24J01R,(2024 JR1),-4.92,-4.93,3,0,2024-05-06,12.9610051665702
1745,29.36,2068-2107,0.0001966568032,2024 HQ,0.0045,2460418.5,bK24H00Q,(2024 HQ),-6.02,-6.22,79,0,2024-04-18,7.29993479746548
1746,28.65,2109-2121,1.1935e-06,2024 HZ,0.0063,2460433.5,bK24H00Z,(2024 HZ),-8.09,-8.17,2,0,2024-05-03,7.14699204021785
1747,28.93,2118-2123,8.57193e-07,2024 EK3,0.0055,2460384.5,bK24E03K,(2024 EK3),-8.37,-8.38,2,0,2024-03-15,6.85066197460782
1748,26.04,2043-2104,1.56416e-06,2010 FD,0.021,2455301.5,bK10F00D,(2010 FD),-6.43,-6.53,5,0,2010-04-15,9.73583297105155
1749,26.77,2055-2091,4.880611e-07,2023 SD3,0.015,2460232.5,bK23S03D,(2023 SD3),-7.16,-7.16,3,0,2023-10-15,4.15000843541925
1750,29.40,2074-2100,1.45286e-07,2024 EJ4,0.0045,2460382.5,bK24E04J,(2024 EJ4),-9.20,-9.74,8,0,2024-03-13,6.70201189378192
1751,28.68,2087-2087,2.390e-08,2019 LD42,0.0062,2458641.5,bK19L42D,(2019 LD42),-9.45,-9.45,1,0,2019-06-07,13.16
1752,29.36,2071-2120,0.000119458625,2022 JN11,0.00451,2459706.5,bK22J11N,(2022 JN11),-6.36,-6.75,37,0,2022-05-07,6.1863872293022
1753,28.80,2059-2072,4.1669481e-06,2024 JH3,0.0059,2460442.5,bK24J03H,(2024 JH3),-7.17,-7.55,8,0,2024-05-12,9.27447185339314
1754,24.57,2102-2116,9.35296e-07,2024 RG7,0.041,2460566.5,bK24R07G,(2024 RG7),-6.04,-6.30,3,0,2024-09-13,10.9745468814151
1755,26.92,2072-2124,2.598873e-05,2024 JN3,0.014,2460438.5,bK24J03N,(2024 JN3),-5.54,-5.55,7,0,2024-05-08,12.9453062154249
1756,25.72,2064-2119,6.19466e-07,2007 UT3,0.024,2454396.5,bK07U03T,(2007 UT3),-6.66,-6.96,8,0,2007-10-23,9.03398908091808
1757,28.19,2105-2105,6.497e-10,2024 JV6,0.0078,2460440.5,bK24J06V,(2024 JV6),-11.03,-11.03,1,0,2024-05-10,8.48
1758,32.67,2065-2121,1.462073e-06,2026 JM2,0.00099,2461170.5,bK26J02M,(2026 JM2),-9.79,-10.50,30,0,2026-05-10,3.96981857951005
1759,29.10,2095-2104,1.9247e-08,2024 JT3,0.0051,2460439.5,bK24J03T,(2024 JT3),-9.90,-9.93,2,0,2024-05-09,9.61347326856133
1760,20.98,2082-2121,2.3158699e-06,2024 JW16,0.22,2460446.5,bK24J16W,(2024 JW16),-3.63,-3.98,12,0,2024-05-16,23.9255113501842
1761,28.21,2109-2109,2.761e-08,2024 KB1,0.0077,2460460.5,bK24K01B,(2024 KB1),-9.35,-9.35,1,0,2024-05-30,11.09
1762,26.11,2052-2079,1.2484e-07,2024 LZ4,0.02,2460477.5,bK24L04Z,(2024 LZ4),-6.98,-7.09,2,0,2024-06-16,21.3929509772509
1763,25.55,2078-2078,4.563e-09,2024 LA,0.026,2460468.5,bK24L00A,(2024 LA),-8.42,-8.42,1,0,2024-06-07,19.02
1764,27.42,2081-2124,1.24626084e-05,2024 HC,0.011,2460473.5,bK24H00C,(2024 HC),-6.51,-7.08,34,0,2024-06-12,1.90667812975653
1765,29.59,2086-2120,4.05405e-06,2024 JN16,0.0041,2460444.5,bK24J16N,(2024 JN16),-7.94,-8.14,11,0,2024-05-14,7.18079532812866
1766,30.18,2070-2125,5.97345549e-05,2026 HU,0.0031,2461150.5,bK26H00U,(2026 HU),-7.11,-7.58,80,0,2026-04-20,4.08880398074248
1767,27.54,2104-2120,3.433381e-05,2024 QL1,0.011,2460563.5,bK24Q01L,(2024 QL1),-6.18,-6.48,9,0,2024-09-10,4.21978283505384
1768,28.43,2087-2124,1.68771042e-05,2024 RC13,0.007,2460567.5,bK24R13C,(2024 RC13),-6.82,-7.54,68,0,2024-09-14,6.83116137494725
1769,28.64,2066-2113,4.707106e-07,2024 TK13,0.0063,2460604.5,bK24T13K,(2024 TK13),-8.35,-8.73,11,0,2024-10-21,8.07503253166595
1770,27.46,2066-2124,2.213508e-06,2024 RL8,0.011,2460564.5,bK24R08L,(2024 RL8),-6.94,-7.47,20,0,2024-09-11,13.217293576531
1771,24.85,2034-2083,7.016579e-07,2019 GX186,0.0363,2458581.5,bK19GI6X,(2019 GX186),-5.56,-5.84,7,0,2019-04-08,21.6973394099888
1772,25.93,2102-2123,2.261276e-05,2024 MS1,0.022,2460490.5,bK24M01S,(2024 MS1),-5.27,-5.39,5,0,2024-06-29,15.5993462452173
1773,25.48,2104-2104,1.008e-10,2024 MH1,0.027,2460646.5,bK24M01H,(2024 MH1),-10.61,-10.61,1,0,2024-12-02,6.05
1774,26.84,2066-2080,8.88899e-07,2024 WA,0.014,2460645.5,bK24W00A,(2024 WA),-7.01,-7.63,9,0,2024-12-01,8.89466201446958
1775,27.65,2081-2086,1.316229e-05,2024 WU24,0.01,2460643.5,bK24W24U,(2024 WU24),-6.26,-6.27,3,0,2024-11-29,10.0604423318435
1776,27.92,2120-2120,1.342e-08,2024 US,0.0088,2460624.5,bK24U00S,(2024 US),-9.69,-9.69,1,0,2024-11-10,7.64
1777,27.50,2079-2123,2.046378e-07,2024 WT3,0.011,2460645.5,bK24W03T,(2024 WT3),-7.97,-8.01,5,0,2024-12-01,10.495075621415
1778,28.55,2066-2089,2.178143e-06,2024 RH6,0.0066,2460559.5,bK24R06H,(2024 RH6),-7.42,-7.77,11,0,2024-09-06,10.5420998483571
1779,30.15,2047-2112,6.844873e-06,2020 MQ61,0.00318,2459017.5,bK20M61Q,(2020 MQ61),-7.40,-7.72,8,0,2020-06-17,13.1465001103746
1780,27.52,2106-2121,1.740338e-07,2014 QJ365,0.011,2456901.5,bK14Qa5J,(2014 QJ365),-8.22,-8.47,6,0,2014-09-01,11.9637146002673
1781,27.56,2046-2122,3.6652e-06,2024 QQ,0.01,2460551.5,bK24Q00Q,(2024 QQ),-6.56,-6.58,2,0,2024-08-29,5.04355833242388
1782,27.23,2107-2124,5.7675462e-05,2024 PR5,0.012,2460536.5,bK24P05R,(2024 PR5),-5.32,-5.46,22,0,2024-08-14,20.2576903344095
1783,27.03,2121-2121,9.737e-08,2022 PC2,0.013,2459823.5,bK22P02C,(2022 PC2),-8.50,-8.50,1,0,2022-09-01,3.76
1784,26.40,2111-2120,6.793363e-06,2024 SO4,0.018,2460591.5,bK24S04O,(2024 SO4),-6.12,-6.33,5,0,2024-10-08,10.5099766566279
