,h,range,ip,des,diameter,last_obs_jd,id,fullname,ps_cum,ps_max,n_imp,ts_max,last_obs,v_inf
0,18.54,2056-2113,8.515158e-07,1979 XB,0.66,2444222.5,bJ79X00B,(1979 XB),-2.69,-2.99,4,0,1979-12-15,23.7606234552547
1,28.45,2060-2122,0.0001203297828,2022 KK2,0.0069,2459722.5,bK22K02K,(2022 KK2),-5.59,-5.79,33,0,2022-05-23,15.5694051293592
2,24.79,2069-2122,0.002743395186,2000 SG344,0.037,2451820.5,bK00SY4G,(2000 SG344),-2.77,-3.11,300,0,2000-10-03,1.35802744453748
3,26.95,2081-2120,1.9442009e-05,2012 VS76,0.014,2456247.5,bK12V76S,(2012 VS76),-5.74,-6.05,15,0,2012-11-16,11.4626328606267
4,26.19,2102-2102,3.772e-09,2018 GN,0.02,2458217.5,bK18G00N,(2018 GN),-8.95,-8.95,1,0,2018-04-09,20.20
5,26.32,2064-2064,2.937e-06,2011 TO,0.018,2456304.5,bK11T00O,(2011 TO),-6.16,-6.16,1,0,2013-01-12,8.55
6,26.51,2103-2122,1.22522146e-05,2012 BA102,0.017,2455978.5,bK12BA2A,(2012 BA102),-6.03,-6.27,20,0,2012-02-21,7.21203952320587
7,19.92,2069-2118,6.5351e-09,2014 HN197,0.35,2456774.5,bK14HJ7N,(2014 HN197),-5.51,-5.98,12,0,2014-04-27,21.9988508209515
8,24.51,2068-2119,9.90088e-08,2005 UL6,0.042,2453696.5,bK05U06L,(2005 UL6),-6.70,-6.95,6,0,2005-11-22,12.3834503195676
9,24.86,2044-2102,3.1018e-08,2009 DV,0.036,2454886.5,bK09D00V,(2009 DV),-7.24,-7.37,2,0,2009-02-24,22.0982648784577
10,27.85,2068-2068,5.902e-10,2009 EH1,0.0091,2454895.5,bK09E01H,(2009 EH1),-10.56,-10.56,1,0,2009-03-05,10.69
11,28.13,2040-2040,8.724e-08,2021 LY1,0.008,2459377.5,bK21L01Y,(2021 LY1),-8.05,-8.05,1,0,2021-06-12,11.47
12,26.58,2111-2120,5.329099e-06,2021 NM3,0.016,2459408.5,bK21N03M,(2021 NM3),-6.41,-6.48,8,0,2021-07-13,8.21159723247776
13,26.02,2106-2106,8.859e-08,2018 XX2,0.021,2458494.5,bK18X02X,(2018 XX2),-7.75,-7.75,1,0,2019-01-11,11.91
14,29.75,2039-2122,3.96111598e-05,2019 GP21,0.0038,2458577.5,bK19G21P,(2019 GP21),-6.77,-7.32,74,0,2019-04-04,10.8171734948038
15,30.01,2085-2121,6.1740984e-05,2018 WA1,0.0034,2458444.5,bK18W01A,(2018 WA1),-7.08,-7.88,77,0,2018-11-22,3.03482112870115
16,27.24,2059-2122,9.80658349999999e-05,2019 KJ4,0.012,2458642.5,bK19K04J,(2019 KJ4),-5.38,-6.20,201,0,2019-06-08,5.00834214719123
17,26.17,2090-2120,2.652e-09,2005 CM7,0.02,2453411.5,bK05C07M,(2005 CM7),-9.12,-9.28,2,0,2005-02-10,18.3491553544495
18,27.83,2043-2121,3.09793314e-05,2017 QF3,0.00919,2457986.5,bK17Q03F,(2017 QF3),-5.62,-6.06,69,0,2017-08-21,12.7508470140192
19,27.00,2065-2122,2.7609442e-05,2011 DS,0.013,2455630.5,bK11D00S,(2011 DS),-5.78,-6.08,42,0,2011-03-10,6.53840015998875
20,29.12,2069-2122,7.76027876e-05,2019 NX5,0.0051,2458675.5,bK19N05X,(2019 NX5),-6.46,-6.79,121,0,2019-07-11,1.79631891148714
21,25.78,2105-2105,1.754e-08,2019 UB2,0.024,2458791.5,bK19U02B,(2019 UB2),-8.40,-8.40,1,0,2019-11-04,9.85
22,27.42,2087-2121,4.283777e-06,2019 VD,0.011,2458790.5,bK19V00D,(2019 VD),-6.74,-7.30,13,0,2019-11-03,11.218679877594
23,25.64,2093-2121,8.213274e-06,2020 OR4,0.025,2459056.5,bK20O04R,(2020 OR4),-5.29,-5.59,19,0,2020-07-26,21.3694823063251
24,28.96,2049-2054,0.00024180867,2021 RF16,0.00548,2459471.5,bK21R16F,(2021 RF16),-5.35,-5.46,6,0,2021-09-14,8.44364514473364
25,23.26,2110-2119,4.6156e-07,2023 HT4,0.076,2460110.5,bK23H04T,(2023 HT4),-5.83,-6.28,5,0,2023-06-15,9.28705433746425
26,29.13,2125-2125,1.092e-07,2025 YS1,0.005,2461031.5,bK25Y01S,(2025 YS1),-9.33,-9.33,1,0,2025-12-22,9.14
27,30.25,2083-2126,1.46122e-06,2026 AC17,0.003,2461053.5,bK26A17C,(2026 AC17),-8.59,-8.67,6,0,2026-01-13,7.68001238690957
28,27.07,2074-2123,3.22407653e-05,2025 VX,0.013,2460988.5,bK25V00X,(2025 VX),-5.79,-5.84,24,0,2025-11-09,6.3171881246876
29,27.94,2108-2116,5.856515e-05,2016 EM156,0.0087,2457464.5,bK16EF6M,(2016 EM156),-6.00,-6.01,6,0,2016-03-17,8.80973847928333
30,23.35,2060-2060,8.608e-08,2013 NH6,0.073,2456489.5,bK13N06H,(2013 NH6),-5.84,-6.13,2,0,2013-07-16,21.7442111988848
31,27.77,2043-2067,9.87439e-07,2013 UR1,0.0094,2456595.5,bK13U01R,(2013 UR1),-6.75,-6.89,5,0,2013-10-30,21.6573149632534
32,27.82,2072-2121,6.602557e-06,2014 TL,0.0092,2456951.5,bK14T00L,(2014 TL),-6.75,-6.94,13,0,2014-10-21,10.7197943069632
33,28.29,2088-2119,9.8328e-08,2014 UU56,0.00742,2456958.5,bK14U56U,(2014 UU56),-8.90,-9.31,7,0,2014-10-28,8.1690067935888
34,29.43,2045-2054,3.96481939e-05,2015 DQ224,0.00441,2457072.5,bK15DM4Q,(2015 DQ224),-6.12,-6.57,15,0,2015-02-19,13.6969246515665
35,26.54,2091-2121,3.926197e-06,2013 TV132,0.017,2456598.5,bK13TD2V,(2013 TV132),-6.48,-6.93,11,0,2013-11-02,9.14938302382687
36,25.07,2076-2108,1.627109e-06,2014 FX32,0.033,2456805.5,bK14F32X,(2014 FX32),-5.92,-5.92,2,0,2014-05-28,9.0496620939347
37,25.89,2122-2122,4.835e-09,2015 CT13,0.022,2457108.5,bK15C13T,(2015 CT13),-9.19,-9.19,1,0,2015-03-27,6.48
38,23.36,2084-2108,9.689e-09,2015 YV1,0.072,2457400.5,bK15Y01V,(2015 YV1),-7.20,-7.44,2,0,2016-01-13,17.6490680152751
39,28.86,2054-2122,0.000116370403,2008 LD,0.0057,2454627.5,bK08L00D,(2008 LD),-6.17,-6.97,142,0,2008-06-10,4.13173498806221
40,23.21,2049-2065,5.6054e-07,2008 PK9,0.0769,2454686.5,bK08P09K,(2008 PK9),-4.74,-4.92,3,0,2008-08-08,26.3529332429443
41,26.86,2072-2091,2.647394e-06,2010 TD,0.014,2455478.5,bK10T00D,(2010 TD),-6.28,-6.59,7,0,2010-10-09,18.8519643090526
42,27.64,2096-2121,7.02105e-06,2010 GV23,0.01,2455302.5,bK10G23V,(2010 GV23),-6.88,-6.94,7,0,2010-04-16,5.45506145092258
43,26.59,2076-2076,5.907e-10,2016 GW220,0.016,2457498.5,bK16GM0W,(2016 GW220),-9.95,-9.95,1,0,2016-04-20,13.32
44,26.45,2110-2120,1.2006974e-05,2016 TQ2,0.017,2457671.5,bK16T02Q,(2016 TQ2),-5.79,-6.01,18,0,2016-10-10,15.2111165977373
45,28.26,2066-2105,4.038e-07,2022 UQ40,0.0075,2459906.5,bK22U40Q,(2022 UQ40),-8.04,-8.11,3,0,2022-11-23,8.4834299157999
46,24.51,2052-2094,1.281284e-06,2022 UU14,0.0421,2459885.5,bK22U14U,(2022 UU14),-5.25,-5.58,7,0,2022-11-02,28.9990519978397
47,24.39,2068-2118,1.2326028e-05,2022 VE1,0.045,2459909.5,bK22V01E,(2022 VE1),-4.63,-5.11,15,0,2022-11-26,17.1459185716599
48,25.33,2054-2088,4.36428e-08,2010 XU,0.029,2455544.5,bK10X00U,(2010 XU),-7.56,-7.69,5,0,2010-12-14,6.21229659875168
49,26.75,2115-2115,5.633e-10,2016 VH,0.015,2457721.5,bK16V00H,(2016 VH),-10.55,-10.55,1,0,2016-11-29,4.79
50,26.81,2058-2117,3.0141487e-06,2014 SR261,0.015,2456933.5,bK14SQ1R,(2014 SR261),-6.27,-6.48,15,0,2014-10-03,15.2486059702363
51,26.35,2077-2122,6.4383293e-06,2008 YV32,0.018,2454840.5,bK08Y32V,(2008 YV32),-6.09,-6.58,26,0,2009-01-09,8.79863224563553
52,30.51,2083-2120,1.482594e-06,2022 CB3,0.0027,2459617.5,bK22C03B,(2022 CB3),-8.44,-9.04,15,0,2022-02-07,16.7982662684457
53,28.13,2093-2093,1.110e-06,2022 CL3,0.008,2459620.5,bK22C03L,(2022 CL3),-7.68,-7.68,1,0,2022-02-10,8.74
54,31.36,2040-2044,5.67e-07,2008 US,0.0018,2454760.5,bK08U00S,(2008 US),-8.63,-8.75,2,0,2008-10-21,18.9124162257496
55,25.56,2098-2120,9.2927101e-06,2009 RR,0.026,2455089.5,bK09R00R,(2009 RR),-5.49,-6.28,58,0,2009-09-15,12.9536691131686
56,27.31,2088-2088,3.661e-09,2011 EU20,0.012,2455631.5,bK11E20U,(2011 EU20),-9.73,-9.73,1,0,2011-03-11,9.13
57,20.44,2026-2031,4.669e-10,2011 KF36,0.275,2455713.5,bK11K36F,(2011 KF36),-5.43,-5.69,4,0,2011-06-01,22.145703576783
58,27.80,2058-2120,5.6011071e-05,2011 SM173,0.0093,2455834.5,bK11SH3M,(2011 SM173),-5.38,-5.42,14,0,2011-09-30,14.2487095542237
59,27.71,2120-2120,3.988e-10,2017 EJ1,0.0097,2457821.5,bK17E01J,(2017 EJ1),-11.05,-11.05,1,0,2017-03-09,9.50
60,24.58,2085-2114,2.0619e-07,2018 HJ2,0.041,2458261.5,bK18H02J,(2018 HJ2),-6.82,-6.90,2,0,2018-05-23,8.39239487851011
61,28.52,2099-2099,4.695e-08,2019 HN4,0.0067,2458606.5,bK19H04N,(2019 HN4),-9.37,-9.37,1,0,2019-05-03,5.57
62,24.80,2096-2108,2.72187e-07,2019 QS,0.037,2458723.5,bK19Q00S,(2019 QS),-6.34,-6.34,2,0,2019-08-28,21.5892883201622
63,28.59,2092-2115,9.129119e-07,2020 FU2,0.00649,2458932.5,bK20F02U,(2020 FU2),-7.91,-8.12,7,0,2020-03-24,12.8792532455761
64,27.98,2069-2122,3.7154629e-05,2020 PC,0.0086,2459068.5,bK20P00C,(2020 PC),-6.22,-6.65,72,0,2020-08-07,1.4547902747192
65,28.94,2053-2118,4.879089e-06,2019 UB8,0.0055,2458784.5,bK19U08B,(2019 UB8),-7.29,-7.77,27,0,2019-10-28,10.3371070542062
66,32.12,2107-2111,8.942669e-07,2019 UN13,0.0013,2458787.5,bK19U13N,(2019 UN13),-9.76,-10.22,4,0,2019-10-31,10.179698801331
67,26.03,2089-2122,1.565146e-05,2020 DK,0.021,2458900.5,bK20D00K,(2020 DK),-5.54,-6.31,34,0,2020-02-21,10.4503239071627
68,30.21,2044-2072,0.000169320156,2021 DG,0.0031,2459263.5,bK21D00G,(2021 DG),-6.14,-6.33,9,0,2021-02-18,12.9046360658916
69,29.16,2064-2122,9.6788582e-05,2021 DA2,0.005,2459275.5,bK21D02A,(2021 DA2),-6.25,-6.83,76,0,2021-03-02,6.92146372637218
70,23.32,2042-2042,3.9144e-09,2007 VH189,0.073,2454424.5,bK07VI9H,(2007 VH189),-6.94,-6.97,2,0,2007-11-20,18.393669527897
71,27.32,2070-2122,2.705071e-07,2024 XC17,0.012,2460657.5,bK24X17C,(2024 XC17),-8.01,-8.47,14,0,2024-12-13,4.13550554125936
72,28.05,2069-2115,2.444599e-06,2008 CM74,0.0083,2454511.5,bK08C74M,(2008 CM74),-7.42,-8.06,24,0,2008-02-15,4.07487636213547
73,25.31,2027-2122,0.0001658147615,2008 JL3,0.029,2454595.5,bK08J03L,(2008 JL3),-2.38,-2.39,44,0,2008-05-09,8.41901237821941
74,25.49,2101-2101,6.549e-08,2008 JQ,0.027,2454601.5,bK08J00Q,(2008 JQ),-7.73,-7.73,1,0,2008-05-15,7.56
75,26.09,2046-2079,2.833285e-06,2009 HW67,0.02,2454952.5,bK09H67W,(2009 HW67),-5.68,-6.07,11,0,2009-05-01,22.6244092987469
76,28.61,2055-2123,3.1802824e-05,2020 HN,0.0064,2458961.5,bK20H00N,(2020 HN),-6.34,-6.62,38,0,2020-04-22,3.44028641670312
77,26.85,2108-2108,1.4502e-07,2023 TH,0.014,2460243.5,bK23T00H,(2023 TH),-8.07,-8.16,2,0,2023-10-26,8.15
78,27.20,2044-2121,1.561136e-06,2020 HW7,0.012,2458969.5,bK20H07W,(2020 HW7),-6.71,-6.79,8,0,2020-04-30,8.74446278863597
79,27.77,2073-2121,1.97315926e-05,2006 GU2,0.00949,2453834.5,bK06G02U,(2006 GU2),-6.33,-7.20,91,0,2006-04-09,7.30957092814698
80,29.37,2049-2116,0.0001399012027,2022 GA2,0.0045,2459675.5,bK22G02A,(2022 GA2),-6.00,-6.48,124,0,2022-04-06,7.88267720824247
81,29.89,2080-2121,5.257e-08,2017 GM,0.0036,2457847.5,bK17G00M,(2017 GM),-9.63,-9.81,2,0,2017-04-04,16.1853186227887
82,29.09,2099-2122,3.39964e-06,2017 JB2,0.00517,2457902.5,bK17J02B,(2017 JB2),-7.92,-8.65,11,0,2017-05-29,2.92410366980033
83,28.39,2060-2122,1.486024e-06,2020 VV6,0.0071,2459172.5,bK20V06V,(2020 VV6),-7.41,-7.55,11,0,2020-11-19,13.3935158247781
84,28.17,2077-2121,6.61412e-06,2021 GR,0.0079,2459318.5,bK21G00R,(2021 GR),-7.01,-7.50,20,0,2021-04-14,7.05363043004965
85,26.04,2064-2111,1.1134e-07,2002 AN129,0.021,2452289.5,bK02AC9N,(2002 AN129),-7.42,-7.49,2,0,2002-01-15,11.4856520567631
86,27.28,2055-2122,2.25433492e-05,2022 CA1,0.012,2459645.5,bK22C01A,(2022 CA1),-6.16,-6.53,17,0,2022-03-07,3.78033905840398
87,27.66,2056-2105,5.82148302e-05,2016 CD30,0.0099,2457429.5,bK16C30D,(2016 CD30),-5.50,-5.53,5,0,2016-02-11,10.5315599458023
88,24.47,2103-2119,1.93048e-06,2016 CY135,0.043,2457608.5,bK16CD5Y,(2016 CY135),-5.85,-6.28,6,0,2016-08-08,6.74286032489329
89,26.56,2110-2110,1.9038e-07,2019 KT,0.017,2458630.5,bK19K00T,(2019 KT),-7.71,-7.80,2,0,2019-05-27,11.7180418111146
90,25.77,2093-2114,6.046825e-07,2017 RU2,0.024,2458017.5,bK17R02U,(2017 RU2),-6.85,-6.85,3,0,2017-09-21,7.73014967358903
91,27.86,2064-2122,2.6027085e-06,2017 WY27,0.0091,2458085.5,bK17W27Y,(2017 WY27),-7.26,-7.95,31,0,2017-11-28,8.09835665000518
92,29.97,2102-2121,2.5443875e-06,2017 YD1,0.0034,2458117.5,bK17Y01D,(2017 YD1),-8.44,-8.55,4,0,2017-12-30,2.66760217341109
93,28.53,2066-2121,0.000243524707,2010 UY7,0.0067,2455506.5,bK10U07Y,(2010 UY7),-5.68,-6.13,101,0,2010-11-06,3.86757417069801
94,25.28,2067-2067,3.1956e-07,2011 QF48,0.03,2455825.5,bK11Q48F,(2011 QF48),-6.32,-6.45,2,0,2011-09-21,19.9176755538866
95,25.25,2027-2108,5.2345e-08,2013 TX68,0.03,2456574.5,bK13T68X,(2013 TX68),-5.95,-5.97,5,0,2013-10-09,14.3075181965804
96,28.24,2119-2119,9.329e-09,2014 EC,0.0076,2456722.5,bK14E00C,(2014 EC),-9.74,-9.74,1,0,2014-03-06,15.77
97,28.51,2060-2122,2.54443647e-05,2014 LJ,0.0067,2456838.5,bK14L00J,(2014 LJ),-6.65,-7.81,177,0,2014-06-30,3.61638147161128
98,26.35,2081-2118,4.886504e-06,2016 JA6,0.018,2457527.5,bK16J06A,(2016 JA6),-6.17,-6.44,15,0,2016-05-19,11.3372469335951
99,25.11,2116-2122,7.8026e-07,2004 FY3,0.032,2453094.5,bK04F03Y,(2004 FY3),-6.45,-6.69,5,0,2004-03-30,11.7839471458232
100,26.24,2033-2045,1.5582e-09,2017 QJ2,0.019,2457985.5,bK17Q02J,(2017 QJ2),-8.35,-8.36,2,0,2017-08-20,19.2209973045822
101,28.35,2083-2114,1.1975988e-05,2017 QU34,0.0072,2457996.5,bK17Q34U,(2017 QU34),-6.55,-6.79,15,0,2017-08-31,14.4849389712147
102,26.19,2058-2070,2.0549e-07,2018 GG4,0.02,2458232.5,bK18G04G,(2018 GG4),-6.98,-7.16,2,0,2018-04-24,16.6459783931092
103,28.00,2060-2114,1.2249807e-05,2009 YR,0.0085,2455190.5,bK09Y00R,(2009 YR),-6.51,-6.84,17,0,2009-12-25,3.11571090222075
104,26.17,2114-2114,5.214e-07,2021 PA15,0.02,2459472.5,bK21P15A,(2021 PA15),-7.19,-7.19,1,0,2021-09-15,8.95
105,26.04,2034-2122,4.06682831e-05,2010 KV7,0.021,2455336.5,bK10K07V,(2010 KV7),-4.70,-4.99,139,0,2010-05-20,5.36935408173157
106,26.42,2112-2122,4.10031e-07,2021 LC4,0.018,2459377.5,bK21L04C,(2021 LC4),-7.26,-7.26,2,0,2021-06-12,15.249467162239
107,29.47,2056-2121,1.12020323e-05,2022 YC,0.0043,2459930.5,bK22Y00C,(2022 YC),-7.34,-7.93,52,0,2022-12-17,4.80522605598986
108,25.25,2111-2111,3.736e-08,2021 EZ3,0.03,2459339.5,bK21E03Z,(2021 EZ3),-7.89,-7.89,1,0,2021-05-05,8.33
109,28.39,2095-2122,0.102637259069,2010 RF12,0.0071,2459815.5,bK10R12F,(2010 RF12),-2.97,-2.97,70,0,2022-08-24,5.10001588137266
110,26.26,2039-2122,3.17590717e-05,2010 XN69,0.019,2455546.5,bK10X69N,(2010 XN69),-5.22,-6.09,114,0,2010-12-16,7.30211201362035
111,26.84,2046-2104,0.0001607253471,2012 MF7,0.015,2456130.5,bK12M07F,(2012 MF7),-4.43,-4.47,19,0,2012-07-22,8.70117483784859
112,27.73,2056-2122,9.515386e-06,2013 PG10,0.0096,2456515.5,bK13P10G,(2013 PG10),-6.42,-6.55,33,0,2013-08-11,6.8654019689795
113,28.30,2045-2122,0.0003255604023,2015 KG158,0.0074,2457166.5,bK15KF8G,(2015 KG158),-5.22,-5.36,87,0,2015-05-24,7.6931042791318
114,26.39,2087-2117,4.03583e-08,2015 KH160,0.018,2457169.5,bK15KG0H,(2015 KH160),-7.72,-7.88,6,0,2015-05-27,29.8876727463744
115,27.51,2086-2086,9.452e-09,2016 CO248,0.011,2457457.5,bK16CO8O,(2016 CO248),-9.51,-9.51,1,0,2016-03-10,5.07
116,27.25,2082-2120,1.8043724e-06,2016 TQ54,0.012,2457671.5,bK16T54Q,(2016 TQ54),-7.12,-7.50,10,0,2016-10-10,9.00024891979062
117,27.84,2089-2089,8.957e-10,2012 XL134,0.0092,2456275.5,bK12XD4L,(2012 XL134),-10.62,-10.62,1,0,2012-12-14,8.66
118,27.10,2070-2120,2.21849e-06,2000 SZ162,0.013,2451824.5,bK00SG2Z,(2000 SZ162),-6.94,-7.32,9,0,2000-10-07,4.14677388674278
119,25.74,2102-2117,8.732454e-05,2014 CR13,0.024,2456726.5,bK14C13R,(2014 CR13),-4.62,-4.73,25,0,2014-03-10,12.2904047063975
120,26.52,2099-2120,3.570163e-06,2024 WS,0.017,2460645.5,bK24W00S,(2024 WS),-6.39,-6.42,7,0,2024-12-01,10.9801869690544
121,27.69,2078-2122,0.0006464105,2021 EJ3,0.0098,2459290.5,bK21E03J,(2021 EJ3),-4.93,-5.35,156,0,2021-03-17,2.1557250139037
122,24.66,2102-2102,7.201e-10,2008 BE15,0.04,2454499.5,bK08B15E,(2008 BE15),-8.98,-8.98,1,0,2008-02-03,18.05
123,26.64,2078-2120,4.1495682e-06,2010 FN,0.016,2455276.5,bK10F00N,(2010 FN),-6.46,-6.95,17,0,2010-03-21,6.79707305834858
124,26.85,2068-2121,0.0006709082165,2010 UK,0.014,2455501.5,bK10U00K,(2010 UK),-4.18,-4.19,48,0,2010-11-01,6.08212531297863
125,28.68,2061-2122,0.0001972727787,2020 AW,0.0062,2458854.5,bK20A00W,(2020 AW),-5.78,-6.54,265,0,2020-01-06,4.54885164112609
126,27.20,2096-2121,4.68272e-07,2020 AR1,0.012,2458856.5,bK20A01R,(2020 AR1),-7.74,-7.79,3,0,2020-01-08,9.13081482557146
127,27.34,2092-2104,3.6235357e-05,2020 KC5,0.012,2458999.5,bK20K05C,(2020 KC5),-5.79,-5.79,3,0,2020-05-30,8.96002776376675
128,25.79,2095-2095,7.452e-08,2020 KS,0.024,2459029.5,bK20K00S,(2020 KS),-7.80,-7.80,1,0,2020-06-29,7.06
129,27.07,2095-2118,2.453161e-06,2020 SX6,0.013,2459146.5,bK20S06X,(2020 SX6),-7.07,-7.49,17,0,2020-10-24,4.02791060187244
130,28.12,2070-2122,1.4429016e-05,2018 PU23,0.008,2458349.5,bK18P23U,(2018 PU23),-6.69,-7.31,45,0,2018-08-19,1.78314803871588
131,30.85,2027-2118,4.759111e-07,2018 VP1,0.0023,2458438.5,bK18V01P,(2018 VP1),-8.08,-8.43,15,0,2018-11-16,9.53262840475879
132,27.53,2070-2103,1.297838e-05,2019 ED1,0.011,2458556.5,bK19E01D,(2019 ED1),-6.25,-6.73,8,0,2019-03-14,9.41919065399534
133,25.31,2077-2121,2.0794245e-05,2009 OW6,0.029,2455052.5,bK09O06W,(2009 OW6),-5.13,-5.35,15,0,2009-08-09,6.64674621752316
134,24.83,2116-2119,6.161e-06,2010 UB,0.037,2455491.5,bK10U00B,(2010 UB),-5.51,-5.66,4,0,2010-10-22,7.99140107125467
135,26.77,2072-2120,4.11566286e-05,2009 WP6,0.015,2455155.5,bK09W06P,(2009 WP6),-4.91,-5.17,46,0,2009-11-20,25.3406183325716
136,29.28,2049-2116,1.321024e-07,2009 XR1,0.00471,2455176.5,bK09X01R,(2009 XR1),-9.01,-9.29,18,0,2009-12-11,6.0295880998377
137,28.52,2081-2119,1.695792e-06,2012 WR10,0.0067,2456279.5,bK12W10R,(2012 WR10),-7.85,-8.36,14,0,2012-12-18,2.72926480959929
138,28.73,2072-2120,1.5651653e-05,2017 BG92,0.0061,2457788.5,bK17B92G,(2017 BG92),-6.78,-6.90,16,0,2017-02-04,5.3344301921337
139,28.54,2090-2110,4.373e-09,2017 CY32,0.00661,2457785.5,bK17C32Y,(2017 CY32),-10.08,-10.18,4,0,2017-02-01,18.0772798993826
140,25.10,2100-2110,1.62839e-07,2013 BR15,0.032,2456310.5,bK13B15R,(2013 BR15),-6.95,-7.05,3,0,2013-01-18,14.0824842328926
141,27.62,2046-2122,0.0001050810274,2021 JW2,0.01,2459373.5,bK21J02W,(2021 JW2),-5.48,-6.31,216,0,2021-06-08,4.89238510136607
142,25.66,2121-2121,2.681e-07,2020 CE1,0.025,2458906.5,bK20C01E,(2020 CE1),-7.09,-7.09,1,0,2020-02-27,14.56
143,30.34,2108-2121,5.76379e-06,2020 DW,0.0029,2458898.5,bK20D00W,(2020 DW),-8.26,-8.34,3,0,2020-02-19,3.78351222025785
144,26.80,2062-2117,3.460016e-06,2018 XR4,0.015,2458467.5,bK18X04R,(2018 XR4),-6.33,-6.54,8,0,2018-12-15,11.7998276597565
145,26.73,2031-2122,0.0001422170421,2006 DM63,0.015,2453794.5,bK06D63M,(2006 DM63),-3.89,-4.12,46,0,2006-02-28,10.3663089172349
146,27.68,2102-2120,4.32497e-06,2016 SU2,0.0098,2457664.5,bK16S02U,(2016 SU2),-6.87,-7.29,11,0,2016-10-03,12.7283721043152
147,28.73,2087-2120,2.916965e-06,2016 WF7,0.0061,2457723.5,bK16W07F,(2016 WF7),-7.74,-8.04,8,0,2016-12-01,6.54448892941808
148,24.86,2097-2100,9.78383e-06,2009 TH8,0.036,2455122.5,bK09T08H,(2009 TH8),-5.07,-5.13,4,0,2009-10-18,13.028912491325
149,27.36,2086-2120,1.86409591e-05,2009 TU,0.011,2455122.5,bK09T00U,(2009 TU),-5.89,-6.44,13,0,2009-10-18,15.150014948748
150,29.55,2046-2121,4.25531e-06,2009 VT1,0.0042,2455146.5,bK09V01T,(2009 VT1),-7.51,-7.71,24,0,2009-11-11,6.95973291017575
151,27.92,2102-2124,1.17333184e-05,2010 RM80,0.0088,2455458.5,bK10R80M,(2010 RM80),-6.78,-7.36,36,0,2010-09-19,5.36628438498694
152,26.38,2100-2121,1.180208e-06,2018 LD1,0.018,2458282.5,bK18L01D,(2018 LD1),-6.90,-6.93,7,0,2018-06-13,10.8856905138755
153,26.51,2073-2117,2.1367185e-06,2015 FF36,0.017,2457107.5,bK15F36F,(2015 FF36),-6.62,-6.90,10,0,2015-03-26,8.86651974651785
154,28.46,2068-2122,0.000324815422,2012 DJ54,0.0069,2456001.5,bK12D54J,(2012 DJ54),-5.43,-5.82,115,0,2012-03-15,5.42760910471794
155,28.05,2107-2116,1.43188e-06,2022 DO2,0.0083,2459645.5,bK22D02O,(2022 DO2),-7.65,-7.68,3,0,2022-03-07,8.7698361594547
156,29.13,2046-2122,5.2458918e-05,2017 TB,0.0051,2458031.5,bK17T00B,(2017 TB),-6.53,-7.18,148,0,2017-10-05,5.78474931842857
157,26.36,2091-2114,1.9151e-07,2024 FY1,0.018,2460414.5,bK24F01Y,(2024 FY1),-7.61,-7.99,4,0,2024-04-14,10.3771171218213
158,28.59,2082-2082,1.609e-08,2024 GV3,0.0065,2460412.5,bK24G03V,(2024 GV3),-9.61,-9.61,1,0,2024-04-12,10.84
159,30.26,2112-2124,0.00037913687,2024 GZ5,0.003,2460415.5,bK24G05Z,(2024 GZ5),-6.41,-6.57,9,0,2024-04-15,3.69596229192903
160,27.12,2087-2104,3.177776e-07,2017 UQ6,0.013,2458070.5,bK17U06Q,(2017 UQ6),-7.88,-8.05,6,0,2017-11-13,3.02656747989789
161,28.08,2083-2121,0.011543968326,2017 WT28,0.0082,2458103.5,bK17W28T,(2017 WT28),-3.83,-3.85,113,0,2017-12-16,4.47011685866956
162,30.98,2088-2121,5.7797e-06,2024 FQ5,0.0022,2460400.5,bK24F05Q,(2024 FQ5),-8.49,-8.72,5,0,2024-03-31,6.95548903922349
163,24.88,2101-2120,1.405e-07,2006 XV4,0.036,2454096.5,bK06X04V,(2006 XV4),-7.07,-7.31,3,0,2006-12-27,9.19167900355872
164,25.21,2052-2120,2.06610398e-05,2008 YO2,0.0309,2454822.5,bK08Y02O,(2008 YO2),-4.84,-5.41,56,0,2008-12-22,16.4650870027364
165,26.35,2036-2048,8.38209e-08,2005 UA1,0.018,2453685.5,bK05U01A,(2005 UA1),-6.99,-6.99,2,0,2005-11-11,14.6798518507914
166,26.31,2078-2109,4.47498e-07,2006 AU3,0.019,2453745.5,bK06A03U,(2006 AU3),-7.30,-7.36,4,0,2006-01-10,7.37176622018422
167,28.34,2053-2088,1.7440268e-06,2006 DO62,0.0073,2453790.5,bK06D62O,(2006 DO62),-7.27,-7.56,10,0,2006-02-24,10.8393890621406
168,24.20,2111-2111,3.616e-08,2004 RV164,0.049,2453286.5,bK04RG4V,(2004 RV164),-7.42,-7.42,1,0,2004-10-08,7.95
169,27.29,2041-2041,6.744e-07,2005 BS1,0.012,2453389.5,bK05B01S,(2005 BS1),-6.74,-6.74,1,0,2005-01-19,12.36
170,27.18,2050-2092,6.3816e-09,2008 XK,0.0125,2454802.5,bK08X00K,(2008 XK),-8.92,-9.08,4,0,2008-12-02,17.1980848063182
171,27.12,2092-2120,1.317885e-06,2022 GE,0.013,2459678.5,bK22G00E,(2022 GE),-7.09,-7.25,9,0,2022-04-09,12.1971413742474
