make,model,version,price,fuel,year,kms,power,doors,shift,color,is_professional
SUBARU,Impreza,SUBARU Impreza 2.0 WRX STI 4p.,19500,Gasolina,2002.0,135000,265.0,4,Manual,Azul,False
CITROEN,C4 Picasso,CITROEN C4 Picasso 2.0 16v CMP Exclusive Plus 5p.,6000,Gasolina,2007.0,88000,143.0,5,Automático,Granate,True
DS,DS 3 Crossback,DS DS 3 Crossback PureTech 96 kW Automatico GRAND CHIC 5p.,27500,Gasolina,2019.0,21000,130.0,5,Manual,Azul,True
BMW,Serie 3,BMW Serie 3 318d Essential Edition 4p.,14850,Diésel,2013.0,99000,143.0,4,Automático,Negro (IMPECABLE TECHO GPS PAQUETE SPORT AUTOMATIC),True
FORD,Connect,FORD Connect Kombi 1.8 TDCi 110cv Trend 210 S,4900,Diésel,2011.0,262054,110.0,5,Manual,Azul,True
MITSUBISHI,Outlander,MITSUBISHI Outlander 2.2 DID Kaiteki Plus 5p.,7400,Diésel,2008.0,242000,156.0,5,Manual,Negro,True
RENAULT,Clio,RENAULT Clio Intens TCe 74 kW 100CV 5p.,15800,Gasolina,2020.0,2900,100.0,5,Manual,Gris / Plata (Tapicería Zen),True
RENAULT,Mégane,RENAULT Megane Business Energy dCi 66kW 90CV 5p.,13000,Diésel,2018.0,40146,90.0,5,Manual,Gris / Plata,True
OPEL,Mokka,OPEL Mokka 1.6 CDTi 4X2 SS Selective 5p.,11700,Diésel,2016.0,109371,136.0,5,Manual,GAZ Blanco Alpino (sÃ³lido),True
TOYOTA,Avensis,TOYOTA Avensis 1.8 VVTI SOL 4p.,3000,Gasolina,2008.0,220469,129.0,4,Manual,Azul,False
SSANGYONG,Rodius,SSANGYONG Rodius D22T 178cv Premium 5p.,16490,Diésel,2017.0,79900,178.0,5,Manual,Negro,True
KIA,Picanto,KIA Picanto 1.0 CVVT 49kW 67CV Concept 5p.,8990,Gasolina,2019.0,22855,67.0,5,Manual,Blanco,True
PEUGEOT,Expert,PEUGEOT Expert 229 L1H1 2.0 HDi 120,6990,Diésel,2007.0,249800,120.0,4,Manual,Blanco,True
PORSCHE,Boxster,PORSCHE Boxster - 2p.,19900,Gasolina,2008.0,110000,245.0,2,Manual,Azul (oscuro metalizado),True
TOYOTA,C-HR,TOYOTA CHR 1.8 125H Advance 5p.,17990,Híbrido,2017.0,67000,122.0,5,Automático,Marrón,True
TOYOTA,Proace,TOYOTA Proace Furgon L1H1 2.0D 128CV Active,12826,Diésel,2014.0,160000,128.0,4,Manual,Blanco,True
AUDI,A4,AUDI A4 Avant 2.0 TDI 143cv DPF 5p.,9990,Diésel,2010.0,175000,143.0,5,Manual,Marrón,True
HYUNDAI,i10,HYUNDAI i10 1.2 Tecno Edition 5p.,16500,Gasolina,2019.0,0,87.0,5,Manual,Rojo,True
BMW,X1,BMW X1 sDrive20d 5p.,12490,Diésel,2011.0,119000,177.0,5,Manual,Negro,True
CITROEN,C3 Aircross,CITROEN C3 Aircross BlueHDi 73kW 100CV FEEL 5p.,14000,Diésel,2017.0,90000,99.0,5,Manual,Gris / Plata,True
CITROEN,C5,CITROEN C5 1.6 HDi FAP Airdream 110cv Business 4p.,6500,Diésel,2011.0,158000,109.0,4,Manual,Blanco,True
MERCEDES-BENZ,Vito,MERCEDES-BENZ Vito 111 CDI Vito L Extralarga 4p.,8000,Diésel,2004.0,173000,109.0,4,Automático,Blanco,False
ABARTH,500C,ABARTH 500C 595C Turismo 1.4 16v TJet 121kW E6 2p.,21900,Gasolina,2016.0,49500,165.0,2,Automático,Negro (Negro Scorpione y Blanco Gara),True
VOLVO,V60,VOLVO V60 2.0 D3 Momentum Auto 5p.,26490,Diésel,2018.0,19500,150.0,5,Automático,Blanco,True
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 220 CDI SPORTCOUPE SPORT EDITION 3p.,4950,Diésel,2006.0,291000,150.0,3,Manual,Negro,False
HYUNDAI,i20 Active,HYUNDAI i20 Active 1.4 CRDi Klass 5p.,11700,Diésel,2017.0,48635,90.0,5,Manual,Blanco (*RIV*),True
VOLKSWAGEN,Passat,VOLKSWAGEN Passat BlueMotion 1.6 TDI 120CV 4p.,13600,Diésel,2016.0,116000,120.0,4,Manual,Gris / Plata (GRIS PLOMO),True
SEAT,León,SEAT Leon ST 1.5 EcoTSI 110kW 150CV SS FR Ed 5p.,18900,Gasolina,2019.0,13000,150.0,5,Manual,Blanco,True
SEAT,Ateca,SEAT Ateca 1.0 TSI 85kW StSp Style Plus Nav Eco 5p.,18200,Gasolina,2018.0,17000,115.0,5,Manual,Blanco,False
VOLKSWAGEN,Golf,VOLKSWAGEN Golf 1.9 TDI Sportline 5p.,2300,Diésel,2005.0,348000,105.0,5,Manual,Gris / Plata,False
OPEL,Crossland X,OPEL Crossland X 1.5D 75kW Design Line 120 Aniversar. SS 5p.,17400,Diésel,2019.0,26092,102.0,5,Manual,Blanco Alpino (sólido),True
OPEL,Frontera,OPEL Frontera 2.2 DTI SPORT RS 3p.,4500,Diésel,2000.0,189000,115.0,3,Manual,Gris / Plata,False
AUDI,A6,AUDI A6 2.0 TDI ultra Advanced edition 4p.,17499,Diésel,2014.0,112000,190.0,4,Automático,Negro,True
BMW,Serie 2,BMW Serie 2 M2 2p.,46990,Gasolina,2017.0,55900,370.0,2,Automático,Azul,True
VOLKSWAGEN,Passat,VOLKSWAGEN Passat Variant Edition 1.6 TDI 120CV BMT 5p.,12900,Diésel,2016.0,137185,120.0,5,Manual,Gris / Plata,True
SUZUKI,SX4,SUZUKI SX4 1.9 DDiS GL 5p.,6500,Diésel,2009.0,49670,120.0,5,Manual,Gris / Plata,True
HYUNDAI,i30,HYUNDAI i30 2.0 TGDI N Performance 5p.,26490,Gasolina,2018.0,69990,275.0,5,Manual,Azul,True
VOLKSWAGEN,New Beetle,VOLKSWAGEN New Beetle 1.9 TDi 105CV 3p.,8490,Diésel,2009.0,119000,105.0,3,Manual,Gris / Plata,True
BMW,X1,BMW X1 sDrive18d 5p.,22500,Diésel,2017.0,80592,150.0,5,Manual,B39 Mineralgrau (metalizado),True
CITROEN,C4,CITROEN C4 1.6 HDi 110 FP Cool 5p.,3999,Diésel,2010.0,240000,109.0,5,Manual,Negro,True
AUDI,Q3,AUDI Q3 Attraction 2.0 TDI 110kW 150CV 5p.,23900,Diésel,2018.0,63000,150.0,5,Manual,Blanco,True
FIAT,Panda,FIAT Panda 1.2 Lounge 51kW 69CV EU6 5p.,7900,Gasolina,2017.0,78580,69.0,5,Manual,Blanco,True
FORD,Grand C-Max,FORD Grand CMax 1.0 EcoBoost 125 AutoStartStop Titani. 5p.,12498,Gasolina,2015.0,20000,125.0,5,Manual,Beige,False
RENAULT,Clio,RENAULT Clio Yahoo 1.2 16v 75 5p 5p.,6990,Gasolina,2012.0,84964,75.0,5,Manual,Rojo,True
AUDI,A7,AUDI A7 Sportback 50 TDI 210kW quattro triptron. 5p.,65950,Diésel,2018.0,965,286.0,5,Automático,Blanco,True
TOYOTA,Yaris,TOYOTA Yaris 1.5 Hybrid Active 5p.,8850,Híbrido,2016.0,144753,100.0,5,Automático,Blanco,True
HYUNDAI,i10,HYUNDAI i10 1.0 Klass 5p.,8700,Gasolina,2019.0,22500,66.0,5,Manual,Negro,True
MINI,MINI,MINI MINI One D 3p.,4100,Diésel,2003.0,200000,75.0,3,Manual,Rojo,True
CITROEN,C5 Aircross,CITROEN C5 Aircross BlueHdi 96kW 130CV SS EAT8 Feel 5p.,26400,Diésel,2020.0,2826,131.0,5,Automático,Gris / Plata,True
FIAT,Doblò Cargo,FIAT Doblo Cargo Cargo Base 1.3 Multijet 90cv E5,4537,Diésel,2013.0,162000,90.0,3,Manual,Blanco,True
AUDI,Q5,AUDI Q5 2.0 TDI 120kW 163CV quattro S tronic 5p.,29900,Diésel,2017.0,79000,163.0,5,Automático,Negro,True
VOLKSWAGEN,Caddy,VOLKSWAGEN Caddy Kombi 2.0 TDI SCR BMT 102CV 4p.,14500,Diésel,2016.0,63000,102.0,4,Manual,Gris / Plata,True
AUDI,A4,AUDI A4 2.0 TDI 110kW 150CV Avant 5p.,22500,Diésel,2017.0,83628,150.0,5,Automático,Blanco,True
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 220 d 4MATIC 4p.,35900,Diésel,2019.0,14300,194.0,4,Automático,Gris / Plata,False
PEUGEOT,407,PEUGEOT 407 ST Confort Pack HDI 136 4p.,1990,Diésel,2004.0,170000,136.0,4,Manual,Granate,False
MINI,MINI,MINI MINI COOPER D 5 PUERTAS 5p.,15490,Diésel,2016.0,65235,116.0,5,Manual,Rojo (B83 Blazing Red Metalizada),True
BMW,X4,BMW X4 xDrive20d 5p.,28890,Diésel,2016.0,94389,190.0,5,Automático,Negro,True
PEUGEOT,508 Hybrid,PEUGEOT 508 Hybrid 5P GT 225 eEAT8 5p.,37950,Híbrido enchufable,2020.0,2,225.0,5,Automático,Blanco (Blanco Nacarado),True
FORD,C-Max,FORD CMax 1.6 TDCi 115 Titanium 5p.,8699,Diésel,2012.0,51021,115.0,5,Manual,Negro,True
SEAT,Ibiza,SEAT Ibiza 1.4 TDI 55kW 75CV Reference Plus Eco 5p.,7300,Diésel,2017.0,118811,75.0,5,Manual,Blanco,True
NISSAN,QASHQAI,NISSAN QASHQAI 1.5 dCi TEKNA PREMIUM 4x2 17 Piel 5p.,10500,Diésel,2011.0,88979,110.0,5,Manual,Negro,True
SEAT,ALTEA,SEAT ALTEA 1.6 TDI 105cv Style Ecomotive 5p.,5300,Diésel,2010.0,244000,105.0,5,Manual,Blanco,True
MERCEDES-BENZ,Clase E,MERCEDES-BENZ Clase E E 300 DT ELEGANCE 4p.,1000,Diésel,1999.0,390000,177.0,4,Automático,Gris / Plata,False
VOLKSWAGEN,Polo,VOLKSWAGEN Polo 1.2 TSI 90cv Advance 5p.,9990,Gasolina,2013.0,102729,90.0,5,Manual,Azul,True
SEAT,Altea XL,SEAT Altea XL 1.9 TDI 105cv Stylance 5p.,5890,Diésel,2007.0,134125,105.0,5,Manual,Granate,True
PEUGEOT,508,PEUGEOT 508 RXH Full Hybrid Diesel 200CV 5p.,14900,Híbrido,2013.0,92332,200.0,5,Automático,Gris / Plata (MFP11 Gris),True
MAZDA,Mazda3,MAZDA Mazda3 2.2 SKYACTIVD ZENITHSAFECUENAV 4p.,17300,Diésel,2018.0,41000,150.0,4,Manual,Azul,False
AUDI,Q3,AUDI Q3 2.0 TDI 177cv quattro S tronic Ambition 5p.,20000,Diésel,2012.0,140000,177.0,5,Automático,Gris / Plata,True
AUDI,A1,AUDI A1 Attraction 1.0 TFSI 70kW Sportback 5p.,13900,Gasolina,2017.0,100800,95.0,5,Manual,Negro,True
VOLKSWAGEN,New Beetle,VOLKSWAGEN New Beetle 1.9 TDI 105CV Cabriolet 2p.,5450,Diésel,2006.0,199000,105.0,2,Manual,Rojo,False
DS,DS 3 Crossback,DS DS 3 Crossback PureTech 96 kW Automatico SO CHIC 5p.,23100,Gasolina,2019.0,15000,130.0,5,Automático,Amarillo,True
SSANGYONG,Kyron,SSANGYONG Kyron 200Xdi Limited 5p.,8500,Diésel,2007.0,126797,141.0,5,Manual,Negro,True
MERCEDES-BENZ,Vito,MERCEDES-BENZ Vito 115 CDI Larga,13500,Diésel,2010.0,194700,150.0,4,Manual,Blanco,True
CHRYSLER,300M,CHRYSLER 300M 2.7 V6 24V AUTO 4p.,1500,Gasolina,1999.0,170000,202.0,4,Automático,Gris / Plata,False
DACIA,Sandero,DACIA Sandero Stepway Essential Blue dCi 70kW 95CV 5p.,12600,Diésel,2019.0,14162,95.0,5,Manual,Azul,True
OPEL,Astra,OPEL Astra Twin Top 1.9 CDTi Cosmo 2p.,3999,Diésel,2007.0,170000,150.0,2,Manual,Rojo,True
PEUGEOT,208,PEUGEOT 208 5P STYLE 1.2L PureTech 60KW 82CV 5p.,8490,Gasolina,2018.0,45000,82.0,5,Manual,Gris / Plata,True
BMW,Serie 2 Gran Tourer,BMW Serie 2 Gran Tourer 218d 5p.,14449,Diésel,2016.0,172000,150.0,5,Automático,Gris / Plata,False
FIAT,500C,FIAT 500C 1.2 8v 51kW 69CV Lounge 2p.,10500,Gasolina,2018.0,45100,69.0,2,Manual,Verde,True
VOLVO,C70,VOLVO C70 2.0D Summum 2p.,9990,Diésel,2008.0,170000,136.0,2,Manual,Negro,True
FIAT,500X,FIAT 500X Sport 10 Firefly T3 88KW 120 CV SS 5p.,19400,Gasolina,2020.0,1,120.0,5,Manual,Rojo,True
OPEL,Mokka X,OPEL Mokka X 1.4 T 103kW 4X2 SS Innovation 5p.,14250,Gasolina,2019.0,50000,140.0,5,Manual,Gris / Plata,True
AUDI,A4,AUDI A4 2.0 4p.,4200,Gasolina,2007.0,230000,130.0,4,Manual,Beige,False
VOLKSWAGEN,Golf,VOLKSWAGEN Golf GTD 2.0 TDI 184cv BMT 5p.,19490,Diésel,2016.0,118000,184.0,5,Manual,Negro,True
MERCEDES-BENZ,Sprinter,MERCEDES-BENZ Sprinter 318 CDI LARGO L 3.5T T. ALTO,8900,Diésel,2007.0,373000,184.0,4,Automático,Blanco,True
MINI,MINI,MINI MINI COOPER 5 PUERTAS 5p.,22500,Gasolina,2018.0,28605,136.0,5,Automático,Negro,True
AUDI,A5,AUDI A5 Sportback 2.7 TDI 190cv 5p.,11999,Diésel,2011.0,255000,190.0,5,Manual,Negro,True
SEAT,Ibiza,SEAT Ibiza 1.4 TDI 66kW 90CV Reference 5p.,10490,Diésel,2017.0,72967,90.0,5,Manual,Blanco,True
HYUNDAI,TUCSON,HYUNDAI TUCSON 1.6 TGDI 110kW 150CV 48V Maxx 5p.,28490,Gasolina,2020.0,5,150.0,5,Manual,Rojo,True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf 1.9 TDi Advance 110CV 3p.,1100,Diésel,2002.0,256000,110.0,3,Automático,Negro,False
RENAULT,Clio,RENAULT Clio Limited 1.2 16v 75 Euro 6 5p.,6500,Gasolina,2016.0,65140,75.0,5,Manual,Rojo,False
SEAT,Ateca,SEAT Ateca 1.0 TSI 85kW 115CV StSp Style Pl Eco 5p.,16500,Gasolina,2018.0,88697,115.0,5,Manual,Azul,True
VOLKSWAGEN,T-Roc,VOLKSWAGEN TRoc Sport 1.5 TSI 110kW 150CV DSG 5p.,28500,Gasolina,2020.0,5,150.0,5,Automático,Blanco (BLANCO PURO),True
AUDI,Q7,AUDI Q7 3.0 TDI 272CV quattro tiptronic Sport 5p.,36999,Diésel,2015.0,131000,272.0,5,Automático,Negro,True
OPEL,Karl,OPEL Karl 1.0 Selective 5p.,6990,Gasolina,2016.0,23045,75.0,5,Manual,Gris / Plata,True
FORD,Focus,FORD Focus 1.6 TIVCT 125cv Trend 5p.,9300,Gasolina,2015.0,65000,125.0,5,Manual,Gris / Plata,False
RENAULT,Clio,RENAULT Clio Authentique 1.5DCI85 5p.,2950,Diésel,2007.0,145000,85.0,5,Manual,Beige,True
PORSCHE,Boxster,PORSCHE Boxster S 2p.,11300,Gasolina,2002.0,200000,252.0,2,Automático,Negro,False
AUDI,A5,AUDI A5 Sportback 2.0 TDI 177cv multitronic 5p.,20990,Diésel,2014.0,137335,177.0,5,Automático,Granate,True
AUDI,Q3,AUDI Q3 Sport edition 2.0 TDI 150CV quatt S tron 5p.,22490,Diésel,2016.0,75000,150.0,5,Automático,Negro,True
MITSUBISHI,Montero iO,MITSUBISHI Montero iO 2.0 GDI Plus 5p.,7900,Gasolina,2001.0,102000,129.0,5,Manual,Blanco,True
BMW,Serie 3,BMW Serie 3 320D 2p.,11490,Diésel,2009.0,171800,177.0,2,Manual,Blanco,True
BMW,X4,BMW X4 xDrive30d 5p.,34999,Diésel,2017.0,63500,258.0,5,Automático,Gris / Plata,False
RENAULT,Clio,RENAULT Clio Business Energy dCi 55kW 75CV 5p.,6490,Diésel,2017.0,160000,75.0,5,Manual,Blanco,True
FORD,Kuga,FORD Kuga 2.0 TDCi 150 4x4 ASS Titanium Powers. 5p.,15300,Diésel,2015.0,141079,150.0,5,Automático,Blanco,True
FORD,Galaxy,FORD Galaxy 2.0 TDCi 110kW Titanium PowerShift 5p.,17900,Diésel,2017.0,99000,150.0,5,Automático,Negro,True
OPEL,Corsa,OPEL Corsa 1.4 66kW 90CV 120 Aniversario 5p.,11450,Gasolina,2019.0,39016,90.0,5,Manual,Gris / Plata,True
CITROEN,Berlingo,CITROEN Berlingo 1.6 HDi 75 Attraction,6450,Diésel,2015.0,134000,75.0,4,Manual,Blanco,True
HYUNDAI,i30,HYUNDAI i30 I30 5P TGDI 1.0 120CV KLASS MY19 5p.,18300,Gasolina,2019.0,0,120.0,5,Manual,Rojo,True
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 250 CDI Blue Efficiency Coupe 2p.,12200,Diésel,2011.0,190000,204.0,2,Automático,Negro,False
FIAT,Tipo,FIAT Tipo 1.3 Easy 70kW 95CV diesel Multijet II 4p.,7900,Diésel,2017.0,125745,95.0,4,Manual,Blanco,True
RENAULT,Modus,RENAULT Modus Confort Dynamique 1.5dCi80 5p.,1600,Diésel,2004.0,158000,80.0,5,Manual,Gris / Plata,False
HYUNDAI,i40,HYUNDAI i40 CW 1.7 CRDi 115cv BlueDrive Tecno 5p.,9400,Diésel,2015.0,144969,115.0,5,Manual,Azul (*RIV*),True
CITROEN,Berlingo,CITROEN Berlingo 1.9D SX Plus,2500,Diésel,2004.0,208000,71.0,5,Manual,Gris / Plata,True
BMW,X5,BMW X5 xDRIVE30d 5p.,27900,Diésel,2016.0,168000,258.0,5,Automático,Azul,True
VOLKSWAGEN,Polo,VOLKSWAGEN Polo 1.4 Advance 75CV 5p.,3990,Gasolina,2005.0,165000,75.0,5,Manual,Gris / Plata,True
FORD,Focus,FORD Focus 1.6 TREND 5p.,1200,Gasolina,2004.0,230000,100.0,5,Manual,Negro,False
SKODA,Kamiq,SKODA Kamiq 1.0 TSI 85kW 115CV Style 5p.,21400,Gasolina,2019.0,10000,115.0,5,Manual,Azul (AZUL RACE METALIZADO),True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Variant Advance 1.6 TDI 105cv BMT 5p.,10799,Diésel,2015.0,179000,105.0,5,Manual,Gris / Plata,True
BMW,Serie 1,BMW Serie 1 118d 5p.,21900,Diésel,2018.0,22000,150.0,5,Automático,Gris / Plata,True
RENAULT,Clio,RENAULT Clio Dynamique Energy dCi 90 EDC Euro 6 5p.,9999,Diésel,2016.0,38000,90.0,5,Manual,Blanco,True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Sport 1.6 TDI BMT 5p.,14500,Diésel,2017.0,140000,110.0,5,Manual,Blanco,False
PEUGEOT,508 Hybrid,PEUGEOT 508 Hybrid SW GT Line 225 eEAT8 5p.,34990,Híbrido enchufable,2020.0,6660,225.0,5,Automático,Blanco (BLANCO NACARADO),True
FIAT,500,FIAT 500 1.2 8v 51kW 69CV Lounge 3p.,9300,Gasolina,2018.0,38000,69.0,3,Manual,Gris / Plata,True
AUDI,S3,AUDI S3 2.0 TFSI quattro S tronic Sportback 5p.,36900,Gasolina,2017.0,97000,310.0,5,Automático,Gris / Plata,True
PORSCHE,Cayenne,PORSCHE Cayenne Diesel 5p.,29800,Diésel,2010.0,151906,240.0,5,Automático,Gris / Plata (METEORO),True
OPEL,Astra,OPEL Astra 1.6 16v Edition 3p.,3000,Gasolina,2003.0,230000,100.0,3,Manual,Azul,False
DACIA,Duster,DACIA Duster Laureate dCi 110 4X2 EU6 5p.,11900,Diésel,2015.0,27000,110.0,5,Manual,Gris / Plata,True
HYUNDAI,i20,HYUNDAI i20 1.0 TGDI 74kW 100CV Essence LE 5p.,12990,Gasolina,2020.0,7570,100.0,5,Manual,Azul,True
VOLKSWAGEN,Multivan,VOLKSWAGEN Multivan Outdoor Corto 2.0 TDI 110kW 150CV BMT 4p.,36400,Diésel,2019.0,18000,150.0,4,Manual,Negro (2T2T Negro Profundo efecto perla),True
MERCEDES-BENZ,Clase CLA,MERCEDES-BENZ Clase CLA CLA 200 d 4p.,21700,Diésel,2017.0,71281,136.0,4,Automático,Negro (*LRO*),True
AUDI,A3,AUDI A3 Sportback 1.6 TDI 110CV clean Attraction 5p.,14990,Diésel,2016.0,128925,110.0,5,Manual,Negro (negro),True
BMW,X1,BMW X1 sDrive18d 5p.,8900,Diésel,2011.0,195000,143.0,5,Manual,Blanco,False
HYUNDAI,ix35,HYUNDAI ix35 2.0 CRDi 136cv Tecno Sky Nav 4x2 5p.,10680,Diésel,2013.0,167196,136.0,5,Manual,Blanco,True
PEUGEOT,308,PEUGEOT 308 5p Access 1.6 BlueHDi 100 FAP 5p.,8990,Diésel,2016.0,107112,100.0,5,Manual,Gris / Plata (SHARK),True
AUDI,A4,AUDI A4 2.0 TDI Avant DPF 5p.,4950,Diésel,2006.0,249000,140.0,5,Manual,Negro,False
PEUGEOT,ion,PEUGEOT ion Ion 5p.,14490,Eléctrico,2020.0,383,67.0,5,Automático,Blanco,True
BMW,Serie 4,BMW Serie 4 430dA Gran Coupe 5p.,29800,Diésel,2017.0,125000,258.0,5,Automático,Blanco,True
AUDI,Q2,AUDI Q2 Sport 30 TDI 85kW 116CV S tronic 5p.,26800,Diésel,2018.0,18000,116.0,5,Automático,Rojo,True
HYUNDAI,i20,HYUNDAI i20 1.2 MPI Go 5p.,9999,Gasolina,2018.0,7000,84.0,5,Manual,Azul,True
FIAT,Tipo,FIAT Tipo 1.4 16v Easy 70kW 95CV gasolina 4p.,9990,Gasolina,2018.0,29990,95.0,4,Manual,Gris / Plata,True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf 1.9TDI CL 5p.,800,Diésel,1996.0,278759,90.0,5,Manual,Verde,False
HYUNDAI,i30,HYUNDAI i30 1.0 TGDI Klass 5p.,15890,Gasolina,2020.0,10000,120.0,5,Manual,Blanco,True
MERCEDES-BENZ,Clase GLC,MERCEDES-BENZ Clase GLC GLC 250 4MATIC 5p.,41500,Gasolina,2019.0,21882,211.0,5,Automático,Azul,True
BMW,X6,BMW X6 xDrive40d 5p.,33990,Diésel,2014.0,142161,306.0,5,Manual,Gris / Plata (gris claro),True
SMART,fortwo,SMART fortwo Coupe 52 Passion 3p.,7490,Gasolina,2015.0,45000,71.0,3,Manual,Blanco,True
KIA,ceed Sportswagon,KIA ceed Sportswagon 1.6 CRDi VGT 110cv Concept 5p.,8300,Diésel,2016.0,178713,110.0,5,Manual,Negro,True
PEUGEOT,5008,PEUGEOT 5008 Active 1.2L PureTech 96kW 130 SS EAT8 5p.,21990,Gasolina,2019.0,55000,130.0,5,Automático,Negro,True
VOLVO,XC60,VOLVO XC60 2.0 D3 Momentum Auto 5p.,17900,Diésel,2014.0,120000,136.0,5,Automático,Azul,True
CITROEN,C4 Cactus,CITROEN C4 Cactus PureTech 110 SS Origins 5p.,16900,Gasolina,2020.0,50,110.0,5,Manual,Blanco,True
NISSAN,NOTE,NISSAN NOTE 5p. 1.5dCi 90CV Tekna Premium 5p.,7990,Diésel,2013.0,106731,90.0,5,Manual,Negro,True
CITROEN,Xsara,CITROEN Xsara 1.9 TD ATTRACTION 5p.,1350,Diésel,1999.0,151000,90.0,5,Manual,Azul,False
VOLKSWAGEN,T-Cross,VOLKSWAGEN TCross Advance 1.6 TDI 70kW 95CV 5p.,24900,Diésel,2020.0,50,95.0,5,Manual,D8D8 Rojo Flash (uniforme),True
SEAT,León,SEAT Leon 1.5 eTSI 110kW DSG7 SS FR Go XL 5p.,28299,Híbrido,2021.0,1,150.0,5,Automático,Negro,True
VOLVO,XC60,VOLVO XC60 2.0 D3 Momentum 5p.,20900,Diésel,2016.0,98500,150.0,5,Manual,Blanco,True
AUDI,A4,AUDI A4 2.0 TDI 150cv 4p.,19990,Diésel,2016.0,133933,150.0,4,Manual,Negro,True
OPEL,Astra,OPEL Astra 1.6 CDTi 136 CV Elegance Auto 4p.,9300,Diésel,2016.0,145378,136.0,4,Automático,Azul,True
RENAULT,Scénic,RENAULT Scenic Intens Energy dCi 81kW 110CV 5p.,11900,Diésel,2017.0,95179,110.0,5,Manual,Marrón (Marron),True
PORSCHE,911,PORSCHE 911 Targa 4 GTS 2p.,137500,Gasolina,2018.0,30000,450.0,2,Automático,Azul,True
MINI,MINI,MINI MINI ONE D 5 PUERTAS 5p.,14500,Diésel,2018.0,20896,95.0,5,Manual,Rojo,True
MITSUBISHI,Grandis,MITSUBISHI Grandis 2.0 DID Instyle 5p.,4300,Diésel,2006.0,178000,136.0,5,Manual,Gris / Plata,False
FORD,Focus,FORD Focus 1.0 Ecoboost AutoSt.St. 125cv Trend 5p.,11500,Gasolina,2016.0,86566,125.0,5,Manual,Rojo (ROJO),True
CHEVROLET,Orlando,CHEVROLET Orlando 2.0 VCDi LTZ Auto 5p.,10900,Diésel,2013.0,122000,163.0,5,Automático,Negro,True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Business  Navi 1.6 TDI 110cv Bluemotion 5p.,15100,Diésel,2016.0,25899,110.0,5,Manual,Negro,True
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 220 d Estate 5p.,43900,Diésel,2020.0,5,194.0,5,Manual,Gris / Plata (Plata iridio metalizado),True
VOLKSWAGEN,Passat,VOLKSWAGEN Passat Variant 2.0 TDI 140 Advance BMotion Tech 5p.,14500,Diésel,2011.0,60000,140.0,5,Manual,Negro,False
FIAT,Tipo,FIAT Tipo 1.4 TJet 16v Easy 88kW 120CV GLP 4p.,6990,Gas licuado (GLP),2018.0,78257,120.0,4,Manual,Negro,True
VOLVO,XC60,VOLVO XC60 2.0 D3 Kinetic 5p.,16500,Diésel,2015.0,236975,150.0,5,Manual,Blanco,True
RENAULT,Clio,RENAULT Clio Grand Tour Authentique dCi 75 eco2 E5 5p.,3900,Diésel,2011.0,182000,75.0,5,Manual,Beige,False
NISSAN,JUKE,NISSAN JUKE DIGT EU6 85 kW 115 CV 6MT ACENTA 5p.,12990,Gasolina,2017.0,72700,115.0,5,Manual,Negro,True
VOLKSWAGEN,Passat,VOLKSWAGEN Passat 1.6 FSI Advance 4p.,5400,Gasolina,2006.0,149000,115.0,4,Manual,Azul,True
RENAULT,Espace,RENAULT Espace EXPRESSION 2.2 dCi 16v 5p.,4200,Diésel,2005.0,138284,150.0,5,Manual,Gris / Plata,True
FIAT,Talento,FIAT Talento M1 1.2 Base Largo 1.6 Mjet 70kW 95CV,17908,Diésel,2017.0,36803,95.0,4,Manual,Blanco,True
VOLKSWAGEN,Polo,VOLKSWAGEN Polo GTI 1.8 TSI 192cv DSG 5p.,19400,Gasolina,2015.0,43500,192.0,5,Automático,Gris / Plata (Plata Reflex),True
FORD,Kuga,FORD Kuga STLine 2.0 EcoBlue MHEV 110kW 150CV 5p.,29500,Híbrido,2020.0,0,150.0,5,Manual,Azul,True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Bluemotion 1.6 TDI 110cv 5p.,11500,Diésel,2014.0,103000,110.0,5,Automático,Gris / Plata,False
JAGUAR,S-Type,JAGUAR SType 2.7D V6 Executive 4p.,6750,Diésel,2007.0,178000,207.0,4,Automático,Verde,True
BMW,Serie 5,BMW Serie 5 530D 4p.,12000,Diésel,2008.0,200000,235.0,4,Automático,Azul,True
NISSAN,Micra,NISSAN Micra 5p 1.2G NARU EDITION 5p.,6500,Gasolina,2016.0,40000,80.0,5,Manual,Blanco,False
SEAT,León,SEAT Leon 1.6 TDI 66kW 90CV Reference Plus 5p.,10399,Diésel,2017.0,53810,90.0,5,Manual,9M9M Rojo emociÃ³n (suave),True
PEUGEOT,5008,PEUGEOT 5008 1.5 BlueHDi 96kW 130CV SS Active 5p.,27490,Diésel,2020.0,1,130.0,5,Manual,Negro,True
