make,model,version,price,fuel,year,kms,power,doors,shift,color,is_professional
OPEL,Crossland X,OPEL Crossland X 1.2 60kW 81CV Design Line 120 Anivers. 5p.,19150,Gasolina,2019.0,13871,81.0,5,Manual,Gris / Plata,True
SEAT,León,SEAT Leon 1.6 TDI 110cv StSp Style 5p.,10500,Diésel,2016.0,127000,110.0,5,Manual,Blanco,True
SEAT,León,SEAT Leon 2.0 TDI 110kW DSG7 SS FR Go L 5p.,26400,Diésel,2020.0,50,150.0,5,Automático,Negro,True
NISSAN,NOTE,NISSAN NOTE 5p. 1.2G 80CV NTEC Pack Comfort 5p.,7900,Gasolina,2015.0,54200,80.0,5,Manual,Blanco,False
MERCEDES-BENZ,Clase B,MERCEDES-BENZ Clase B B 180 CDI 5p.,13500,Diésel,2014.0,104000,109.0,5,Automático,Blanco,True
MERCEDES-BENZ,Clase E,MERCEDES-BENZ Clase E E 220 d 4p.,23900,Diésel,2016.0,150276,194.0,4,Automático,Negro,True
DACIA,Duster,DACIA Duster Laureate TCE 125 5p.,8399,Gasolina,2014.0,88056,125.0,5,Manual,Blanco,True
RENAULT,Mégane,RENAULT Megane Business Energy dCi 66kW 90CV 5p.,10499,Diésel,2017.0,47396,90.0,5,Manual,369 Blanco Glaciar (opaco),True
VOLKSWAGEN,CC,VOLKSWAGEN CC 2.0 TDI 140cv RLine BluemotionTech 4p.,17890,Diésel,2015.0,90000,140.0,4,Automático,Blanco,True
MERCEDES-BENZ,Clase V,MERCEDES-BENZ Clase V 220 d Clase V Largo 4p.,44097,Diésel,2019.0,24429,163.0,4,Automático,Negro (Obsidiana),True
RENAULT,Clio,RENAULT Clio Renault Sport 2.0 16v 200CV 3p.,10000,Gasolina,2008.0,180000,200.0,3,Manual,Azul,False
VOLVO,XC60,VOLVO XC60 2.0 D3 Kinetic 5p.,18990,Diésel,2016.0,93000,150.0,5,Manual,Blanco,True
DACIA,Duster,DACIA Duster Ambiance dCi 110 4x4 5p.,8500,Diésel,2014.0,202100,109.0,5,Manual,Blanco,True
AUDI,A4,AUDI A4 Avant 2.0 TDI 120cv 5p.,11900,Diésel,2014.0,165999,120.0,5,Manual,Marrón,True
PEUGEOT,5008,PEUGEOT 5008 Style 1.6 BlueHDi 120 FAP 5p.,11900,Diésel,2015.0,86686,120.0,5,Manual,M0VG Gris vapor (metalizado),True
RENAULT,Clio,RENAULT Clio Zen TCe 74 kW 100CV 5p.,16190,Gasolina,2020.0,3239,100.0,5,Manual,Marrón (MARRON VISON),True
MERCEDES-BENZ,GLC Coupé,MERCEDES-BENZ GLC Coupe GLC 220 d 4MATIC 5p.,49900,Diésel,2019.0,200,170.0,5,Automático,Gris / Plata (PLATA IRIDIO),True
BMW,X3,BMW X3 XDRIVE20D 5p.,25400,Diésel,2017.0,36000,190.0,5,Manual,Gris / Plata,True
OPEL,Corsa,OPEL Corsa 1.2T XHL 74kW 100CV Edition 5p.,13100,Gasolina,2019.0,4553,100.0,5,Manual,GAZ Blanco Ion (sÃ³lido),True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf 2.0 TDI 184cv DSG GTD BMT 5p.,17990,Diésel,2013.0,159000,184.0,5,Automático,Gris / Plata (GRIS AZULADO),True
HYUNDAI,i40,HYUNDAI i40 1.6 GDI GLS 135cv 4p.,8400,Gasolina,2012.0,107000,135.0,4,Manual,Gris / Plata,True
BMW,i3,BMW i3  5p.,15500,Eléctrico,2016.0,49000,170.0,5,Automático,Blanco (blanco-negro),True
FORD,Fiesta,FORD Fiesta 1.1 TiVCT 63kW Trend 5p 5p.,9450,Gasolina,2018.0,37000,85.0,5,Manual,Gris / Plata (PM Pintura metalizada),True
PEUGEOT,406,PEUGEOT 406 406 ST 2.0 4p.,800,Gasolina,1998.0,120000,135.0,4,Manual,Rojo,False
FORD,S-MAX,FORD SMAX 2.0 TDCi Titanium 5p.,5500,Diésel,2009.0,202000,140.0,5,Manual,Gris / Plata,True
